district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Gaibandha,2023-03-01,2023,3,1,23.9,70.6,1017.3,8.0,150.0,5.0,49.0,58.0,85.0,6.0,37.0,66.0,361.0
Gaibandha,2023-03-02,2023,3,2,24.4,71.6,1016.8,8.0,151.0,5.0,46.0,55.0,82.0,6.0,32.0,63.0,341.0
Gaibandha,2023-03-03,2023,3,3,24.9,72.3,1016.6,8.0,151.0,5.0,47.0,56.0,82.0,6.0,28.0,71.0,355.0
Gaibandha,2023-03-04,2023,3,4,24.9,73.7,1016.1,8.0,150.0,5.0,48.0,58.0,85.0,5.0,33.0,64.0,360.0
Gaibandha,2023-03-05,2023,3,5,25.7,72.5,1014.6,8.0,152.0,5.0,53.0,63.0,92.0,5.0,36.0,63.0,394.0
Gaibandha,2023-03-06,2023,3,6,25.1,65.6,1013.6,9.0,158.0,5.0,50.0,59.0,85.0,6.0,43.0,54.0,495.0
Gaibandha,2023-03-07,2023,3,7,24.4,60.0,1014.4,9.0,112.0,4.0,29.0,35.0,50.0,6.0,28.0,54.0,314.0
Gaibandha,2023-03-08,2023,3,8,24.3,62.6,1015.7,9.0,113.0,4.0,39.0,45.0,65.0,5.0,43.0,46.0,400.0
Gaibandha,2023-03-09,2023,3,9,24.7,64.0,1014.5,9.0,125.0,4.0,41.0,49.0,70.0,4.0,27.0,57.0,359.0
Gaibandha,2023-03-10,2023,3,10,24.8,64.7,1013.9,9.0,131.0,4.0,37.0,43.0,62.0,5.0,26.0,62.0,338.0
Gaibandha,2023-03-11,2023,3,11,25.2,64.1,1014.2,9.0,124.0,4.0,42.0,49.0,70.0,6.0,14.0,76.0,311.0
Gaibandha,2023-03-12,2023,3,12,26.0,60.0,1013.7,9.0,135.0,4.0,45.0,52.0,75.0,7.0,10.0,78.0,300.0
Gaibandha,2023-03-13,2023,3,13,25.8,67.4,1011.8,9.0,142.0,5.0,39.0,45.0,66.0,4.0,10.0,75.0,264.0
Gaibandha,2023-03-14,2023,3,14,26.1,69.3,1009.5,9.0,142.0,5.0,53.0,62.0,90.0,8.0,23.0,77.0,387.0
Gaibandha,2023-03-15,2023,3,15,24.8,77.9,1009.4,9.0,156.0,5.0,58.0,68.0,98.0,4.0,13.0,34.0,216.0
Gaibandha,2023-03-16,2023,3,16,23.5,79.8,1012.4,9.0,158.0,5.0,67.0,79.0,115.0,7.0,11.0,92.0,395.0
Gaibandha,2023-03-17,2023,3,17,24.1,81.5,1013.0,6.0,168.0,6.0,82.0,96.0,139.0,5.0,15.0,73.0,464.0
Gaibandha,2023-03-18,2023,3,18,24.8,77.2,1011.4,9.0,177.0,6.0,83.0,98.0,141.0,5.0,14.0,79.0,466.0
Gaibandha,2023-03-19,2023,3,19,22.2,88.2,1010.7,4.0,158.0,5.0,48.0,57.0,82.0,2.0,14.0,79.0,369.0
Gaibandha,2023-03-20,2023,3,20,21.4,89.5,1009.3,5.0,99.0,4.0,13.0,15.0,22.0,1.0,9.0,70.0,276.0
Gaibandha,2023-03-21,2023,3,21,22.7,83.7,1009.4,6.0,70.0,3.0,27.0,32.0,46.0,4.0,16.0,69.0,294.0
Gaibandha,2023-03-22,2023,3,22,24.0,78.1,1008.2,9.0,114.0,4.0,39.0,46.0,66.0,3.0,15.0,72.0,307.0
Gaibandha,2023-03-23,2023,3,23,24.8,73.1,1008.3,9.0,129.0,4.0,38.0,45.0,65.0,6.0,25.0,72.0,379.0
Gaibandha,2023-03-24,2023,3,24,24.3,79.3,1010.2,9.0,132.0,4.0,43.0,51.0,73.0,6.0,27.0,69.0,350.0
Gaibandha,2023-03-25,2023,3,25,25.1,79.4,1010.8,9.0,137.0,4.0,47.0,55.0,80.0,6.0,20.0,78.0,308.0
Gaibandha,2023-03-26,2023,3,26,26.7,73.9,1008.0,9.0,152.0,5.0,49.0,58.0,84.0,7.0,24.0,70.0,317.0
Gaibandha,2023-03-27,2023,3,27,26.9,65.3,1007.7,9.0,152.0,5.0,46.0,54.0,80.0,11.0,19.0,67.0,302.0
Gaibandha,2023-03-28,2023,3,28,26.6,66.8,1008.5,9.0,140.0,5.0,42.0,50.0,73.0,8.0,23.0,70.0,297.0
Gaibandha,2023-03-29,2023,3,29,25.5,73.1,1010.4,9.0,138.0,4.0,45.0,53.0,77.0,5.0,14.0,80.0,328.0
Gaibandha,2023-03-30,2023,3,30,25.2,80.6,1009.3,8.0,135.0,4.0,42.0,50.0,73.0,4.0,17.0,67.0,281.0
Gaibandha,2023-03-31,2023,3,31,24.1,82.4,1009.9,7.0,137.0,5.0,42.0,50.0,73.0,4.0,15.0,72.0,270.0
