district,date,year,month,day,temp,humidity,pressure,uv_index,aqi_us,aqi_eu,pm1,pm2_5,pm10,so2_ppb,no2_ppb,o3_ppb,co_ppb
Noakhali,2023-03-01,2023,3,1,24.2,64.7,1017.1,9.0,146.0,5.0,42.0,50.0,73.0,9.0,3.0,107.0,301.0
Noakhali,2023-03-02,2023,3,2,24.3,65.3,1016.5,9.0,140.0,5.0,44.0,53.0,76.0,11.0,5.0,102.0,341.0
Noakhali,2023-03-03,2023,3,3,25.5,64.5,1016.5,9.0,144.0,5.0,43.0,51.0,75.0,10.0,4.0,100.0,341.0
Noakhali,2023-03-04,2023,3,4,25.7,67.6,1016.0,9.0,136.0,4.0,43.0,51.0,74.0,8.0,4.0,90.0,330.0
Noakhali,2023-03-05,2023,3,5,26.2,69.9,1015.1,9.0,143.0,5.0,45.0,53.0,77.0,7.0,4.0,86.0,347.0
Noakhali,2023-03-06,2023,3,6,26.0,69.9,1014.3,9.0,144.0,5.0,42.0,49.0,72.0,6.0,4.0,85.0,364.0
Noakhali,2023-03-07,2023,3,7,26.0,69.2,1014.7,9.0,122.0,4.0,36.0,43.0,62.0,8.0,4.0,86.0,323.0
Noakhali,2023-03-08,2023,3,8,25.2,63.4,1015.3,7.0,113.0,4.0,31.0,36.0,52.0,9.0,5.0,86.0,293.0
Noakhali,2023-03-09,2023,3,9,25.1,63.9,1014.0,9.0,107.0,4.0,42.0,49.0,70.0,10.0,6.0,90.0,315.0
Noakhali,2023-03-10,2023,3,10,25.0,67.5,1013.7,6.0,149.0,5.0,45.0,53.0,76.0,13.0,7.0,90.0,350.0
Noakhali,2023-03-11,2023,3,11,25.6,65.3,1013.8,8.0,141.0,5.0,46.0,54.0,77.0,11.0,8.0,98.0,334.0
Noakhali,2023-03-12,2023,3,12,26.1,63.2,1012.8,9.0,140.0,5.0,41.0,48.0,70.0,10.0,8.0,95.0,312.0
Noakhali,2023-03-13,2023,3,13,26.2,61.5,1011.6,9.0,131.0,4.0,39.0,46.0,66.0,8.0,5.0,87.0,296.0
Noakhali,2023-03-14,2023,3,14,26.1,71.0,1010.5,9.0,138.0,4.0,48.0,56.0,81.0,9.0,5.0,83.0,372.0
Noakhali,2023-03-15,2023,3,15,26.1,80.2,1010.0,8.0,151.0,5.0,44.0,52.0,77.0,3.0,2.0,30.0,191.0
Noakhali,2023-03-16,2023,3,16,26.6,84.0,1012.1,9.0,118.0,4.0,36.0,44.0,66.0,2.0,2.0,65.0,259.0
Noakhali,2023-03-17,2023,3,17,25.9,78.2,1012.4,7.0,147.0,5.0,58.0,68.0,99.0,7.0,4.0,84.0,391.0
Noakhali,2023-03-18,2023,3,18,25.7,74.1,1011.2,9.0,159.0,5.0,58.0,68.0,99.0,6.0,4.0,86.0,387.0
Noakhali,2023-03-19,2023,3,19,23.7,83.9,1010.9,4.0,147.0,5.0,39.0,46.0,66.0,3.0,3.0,67.0,355.0
Noakhali,2023-03-20,2023,3,20,22.9,86.2,1009.6,5.0,85.0,3.0,11.0,13.0,19.0,1.0,1.0,65.0,247.0
Noakhali,2023-03-21,2023,3,21,23.3,83.4,1010.1,6.0,37.0,2.0,9.0,12.0,18.0,0.0,2.0,57.0,197.0
Noakhali,2023-03-22,2023,3,22,24.4,81.1,1009.0,8.0,65.0,2.0,18.0,21.0,31.0,1.0,4.0,50.0,241.0
Noakhali,2023-03-23,2023,3,23,24.8,84.6,1009.2,8.0,71.0,3.0,20.0,24.0,36.0,3.0,3.0,73.0,256.0
Noakhali,2023-03-24,2023,3,24,25.6,79.5,1010.3,9.0,88.0,4.0,27.0,32.0,47.0,2.0,3.0,66.0,231.0
Noakhali,2023-03-25,2023,3,25,26.4,83.0,1011.1,9.0,100.0,4.0,34.0,41.0,60.0,3.0,4.0,61.0,271.0
Noakhali,2023-03-26,2023,3,26,26.9,80.6,1009.6,9.0,108.0,4.0,28.0,33.0,50.0,2.0,2.0,54.0,208.0
Noakhali,2023-03-27,2023,3,27,25.6,85.2,1008.9,7.0,99.0,4.0,31.0,38.0,57.0,3.0,2.0,66.0,200.0
Noakhali,2023-03-28,2023,3,28,27.1,83.4,1009.5,9.0,104.0,4.0,31.0,37.0,55.0,2.0,1.0,72.0,212.0
Noakhali,2023-03-29,2023,3,29,25.4,86.5,1011.4,9.0,105.0,4.0,29.0,36.0,53.0,1.0,1.0,63.0,207.0
Noakhali,2023-03-30,2023,3,30,26.6,81.6,1009.7,8.0,99.0,4.0,27.0,33.0,50.0,1.0,1.0,48.0,184.0
Noakhali,2023-03-31,2023,3,31,25.7,82.3,1009.8,7.0,85.0,4.0,21.0,27.0,41.0,1.0,1.0,54.0,154.0
Noakhali,2023-04-01,2023,4,1,23.8,88.3,1009.5,2.0,84.0,4.0,21.0,26.0,38.0,1.0,2.0,75.0,205.0
Noakhali,2023-04-02,2023,4,2,25.9,79.5,1008.1,9.0,67.0,2.0,13.0,16.0,24.0,1.0,1.0,69.0,167.0
Noakhali,2023-04-03,2023,4,3,27.2,79.9,1008.0,9.0,59.0,2.0,14.0,17.0,26.0,2.0,1.0,69.0,172.0
Noakhali,2023-04-04,2023,4,4,28.5,79.3,1008.7,9.0,68.0,3.0,18.0,23.0,37.0,2.0,1.0,58.0,163.0
Noakhali,2023-04-05,2023,4,5,28.1,84.0,1008.2,8.0,73.0,3.0,16.0,23.0,37.0,1.0,1.0,57.0,139.0
Noakhali,2023-04-06,2023,4,6,28.2,81.1,1010.3,9.0,86.0,4.0,27.0,34.0,51.0,3.0,3.0,72.0,208.0
Noakhali,2023-04-07,2023,4,7,28.8,73.8,1011.5,10.0,109.0,4.0,33.0,39.0,58.0,5.0,3.0,91.0,276.0
Noakhali,2023-04-08,2023,4,8,29.2,67.0,1012.5,10.0,118.0,4.0,39.0,46.0,67.0,6.0,3.0,96.0,328.0
Noakhali,2023-04-09,2023,4,9,29.4,69.7,1012.1,10.0,141.0,5.0,46.0,54.0,78.0,7.0,3.0,88.0,349.0
Noakhali,2023-04-10,2023,4,10,29.7,73.6,1010.6,10.0,151.0,5.0,48.0,57.0,82.0,8.0,2.0,95.0,363.0
Noakhali,2023-04-11,2023,4,11,30.5,74.5,1010.0,9.0,152.0,5.0,53.0,62.0,90.0,10.0,2.0,93.0,380.0
Noakhali,2023-04-12,2023,4,12,30.6,73.6,1009.0,10.0,157.0,5.0,59.0,70.0,101.0,7.0,2.0,89.0,392.0
Noakhali,2023-04-13,2023,4,13,30.5,72.7,1008.2,10.0,145.0,5.0,39.0,47.0,68.0,7.0,1.0,91.0,291.0
Noakhali,2023-04-14,2023,4,14,31.0,73.0,1007.9,10.0,105.0,4.0,29.0,35.0,52.0,5.0,2.0,82.0,246.0
Noakhali,2023-04-15,2023,4,15,31.5,73.9,1007.2,9.0,111.0,4.0,35.0,41.0,61.0,5.0,2.0,81.0,274.0
Noakhali,2023-04-16,2023,4,16,31.4,79.6,1006.1,9.0,120.0,4.0,38.0,45.0,65.0,6.0,2.0,85.0,333.0
Noakhali,2023-04-17,2023,4,17,31.1,83.2,1007.3,9.0,116.0,4.0,34.0,42.0,64.0,3.0,1.0,73.0,231.0
Noakhali,2023-04-18,2023,4,18,31.1,81.2,1008.2,10.0,113.0,4.0,31.0,40.0,62.0,2.0,1.0,71.0,210.0
Noakhali,2023-04-19,2023,4,19,30.8,80.8,1005.1,9.0,99.0,4.0,23.0,29.0,45.0,2.0,1.0,60.0,163.0
Noakhali,2023-04-20,2023,4,20,30.9,81.0,1003.0,9.0,87.0,4.0,21.0,29.0,47.0,2.0,0.0,70.0,168.0
Noakhali,2023-04-21,2023,4,21,29.4,82.9,1003.8,9.0,86.0,4.0,23.0,31.0,51.0,2.0,1.0,73.0,163.0
Noakhali,2023-04-22,2023,4,22,29.0,76.6,1004.7,9.0,97.0,4.0,27.0,34.0,54.0,3.0,2.0,67.0,224.0
Noakhali,2023-04-23,2023,4,23,28.1,76.9,1007.4,6.0,95.0,4.0,29.0,35.0,53.0,6.0,3.0,93.0,301.0
Noakhali,2023-04-24,2023,4,24,28.0,69.5,1010.2,9.0,120.0,4.0,40.0,47.0,69.0,6.0,4.0,92.0,342.0
Noakhali,2023-04-25,2023,4,25,29.1,66.5,1009.9,10.0,130.0,4.0,38.0,45.0,65.0,7.0,4.0,96.0,318.0
Noakhali,2023-04-26,2023,4,26,29.8,66.3,1008.6,9.0,137.0,5.0,44.0,51.0,74.0,9.0,5.0,100.0,380.0
Noakhali,2023-04-27,2023,4,27,29.5,70.4,1008.6,9.0,137.0,5.0,41.0,48.0,70.0,7.0,4.0,105.0,364.0
Noakhali,2023-04-28,2023,4,28,28.3,72.2,1009.4,9.0,130.0,4.0,40.0,47.0,69.0,8.0,3.0,96.0,312.0
Noakhali,2023-04-29,2023,4,29,29.0,75.4,1008.3,9.0,108.0,4.0,29.0,34.0,51.0,5.0,2.0,91.0,247.0
Noakhali,2023-04-30,2023,4,30,29.6,67.3,1007.3,8.0,108.0,4.0,35.0,41.0,60.0,7.0,3.0,96.0,265.0
Noakhali,2023-05-01,2023,5,1,29.2,71.7,1008.2,8.0,121.0,4.0,38.0,45.0,65.0,7.0,4.0,100.0,287.0
Noakhali,2023-05-02,2023,5,2,30.3,63.6,1009.1,9.0,122.0,4.0,36.0,43.0,62.0,6.0,4.0,83.0,283.0
Noakhali,2023-05-03,2023,5,3,28.8,74.4,1010.2,6.0,100.0,4.0,22.0,26.0,39.0,3.0,3.0,61.0,228.0
Noakhali,2023-05-04,2023,5,4,27.7,82.0,1009.5,4.0,68.0,2.0,17.0,20.0,30.0,1.0,4.0,46.0,185.0
Noakhali,2023-05-05,2023,5,5,29.0,77.8,1006.6,8.0,63.0,2.0,15.0,18.0,26.0,1.0,4.0,50.0,198.0
Noakhali,2023-05-06,2023,5,6,29.5,79.9,1005.6,8.0,90.0,4.0,37.0,43.0,62.0,6.0,5.0,96.0,305.0
Noakhali,2023-05-07,2023,5,7,30.9,75.4,1005.1,10.0,126.0,4.0,35.0,42.0,61.0,5.0,4.0,84.0,264.0
Noakhali,2023-05-08,2023,5,8,32.6,69.4,1004.6,9.0,115.0,4.0,36.0,43.0,63.0,8.0,3.0,96.0,271.0
Noakhali,2023-05-09,2023,5,9,33.3,64.0,1004.6,10.0,132.0,4.0,42.0,50.0,72.0,8.0,4.0,96.0,307.0
Noakhali,2023-05-10,2023,5,10,32.0,72.6,1005.7,10.0,113.0,4.0,26.0,32.0,48.0,5.0,2.0,77.0,225.0
Noakhali,2023-05-11,2023,5,11,31.5,73.3,1007.5,9.0,72.0,3.0,17.0,21.0,32.0,3.0,1.0,66.0,181.0
Noakhali,2023-05-12,2023,5,12,30.7,75.0,1006.9,10.0,74.0,3.0,18.0,23.0,36.0,2.0,2.0,66.0,186.0
Noakhali,2023-05-13,2023,5,13,28.7,76.9,1005.5,4.0,82.0,4.0,26.0,31.0,46.0,2.0,2.0,69.0,248.0
Noakhali,2023-05-14,2023,5,14,25.5,84.0,999.8,3.0,83.0,4.0,16.0,19.0,28.0,0.0,0.0,26.0,97.0
